epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,685.359,0.72874,0.41952,1.24913,0.99755,0.96853,0.98704,0.81591,0.76602,0.37845,1.47108,0.001208,0.001208,0.001208
122,690.561,0.70625,0.41192,1.22509,0.99758,0.98062,0.99406,0.82507,0.76697,0.3714,1.44217,0.0012014,0.0012014,0.0012014
123,696.64,0.7475,0.44867,1.26402,0.9947,0.98571,0.99274,0.82656,0.75011,0.36369,1.45436,0.0011948,0.0011948,0.0011948
124,701.753,0.71385,0.40947,1.2334,0.99757,0.97818,0.98966,0.82114,0.7606,0.37116,1.45469,0.0011882,0.0011882,0.0011882
125,707.954,0.70453,0.41253,1.24087,0.99612,0.97143,0.98743,0.81888,0.75836,0.36041,1.44779,0.0011816,0.0011816,0.0011816
126,713.03,0.69156,0.4029,1.20345,0.99305,0.98333,0.99101,0.82319,0.76238,0.37376,1.46717,0.001175,0.001175,0.001175
127,719.12,0.69485,0.41011,1.21507,0.99415,0.98333,0.99249,0.82054,0.7633,0.37069,1.47312,0.0011684,0.0011684,0.0011684
128,724.373,0.69727,0.42341,1.22727,0.99278,0.98279,0.99295,0.82515,0.75667,0.37307,1.42698,0.0011618,0.0011618,0.0011618
129,729.524,0.69881,0.41875,1.2119,0.99274,0.97619,0.9946,0.82591,0.75799,0.37192,1.46486,0.0011552,0.0011552,0.0011552
130,735.622,0.72789,0.42671,1.23888,1,0.98023,0.99406,0.82327,0.76917,0.37534,1.47072,0.0011486,0.0011486,0.0011486
131,740.745,0.70473,0.41031,1.21588,0.99715,0.98571,0.99458,0.82544,0.76466,0.36733,1.42457,0.001142,0.001142,0.001142
132,746.874,0.70075,0.4111,1.2172,0.9922,0.98095,0.9898,0.82524,0.7732,0.36221,1.42868,0.0011354,0.0011354,0.0011354
133,751.98,0.68036,0.39595,1.19885,0.99756,0.97321,0.99132,0.81815,0.77398,0.37475,1.50864,0.0011288,0.0011288,0.0011288
134,758.057,0.72048,0.42832,1.23081,0.99743,0.97857,0.99258,0.82502,0.75866,0.37348,1.43643,0.0011222,0.0011222,0.0011222
135,763.178,0.6879,0.41309,1.19753,0.99818,0.98333,0.9945,0.82189,0.75642,0.37457,1.44613,0.0011156,0.0011156,0.0011156
136,768.518,0.689,0.40384,1.2212,0.99279,0.98333,0.99045,0.8231,0.75697,0.36216,1.46394,0.001109,0.001109,0.001109
137,774.248,0.70082,0.40433,1.22668,0.99216,0.98095,0.98984,0.82307,0.75891,0.35931,1.41961,0.0011024,0.0011024,0.0011024
